;ug;loc;depA;tei;tef;tem
252;Piauí;Rural;Total;5,5;6,0;6,5
253;Piauí;Total;Federal;;;5,9
254;Piauí;Urbana;Federal;;;6,0
255;Piauí;Rural;Federal;;;5,2
256;Piauí;Total;Estadual;;6,1;8,2
257;Piauí;Urbana;Estadual;;6,1;8,3
258;Piauí;Rural;Estadual;;7,8;6,6
259;Piauí;Total;Municipal;5,5;6,1;
260;Piauí;Urbana;Municipal;5,5;6,1;
261;Piauí;Rural;Municipal;5,5;6,0;
262;Piauí;Total;Privada;4,2;4,9;6,7
263;Piauí;Urbana;Privada;4,2;4,9;6,7
264;Piauí;Rural;Privada;;8,7;8,7
265;Piauí;Total;Pública;5,5;6,1;8,1
266;Piauí;Urbana;Pública;5,5;6,1;8,2
267;Piauí;Rural;Pública;5,5;6,0;6,5
268;Ceará;Total;Total;5,2;6,0;7,4
269;Ceará;Urbana;Total;5,3;6,0;7,4
270;Ceará;Rural;Total;4,8;6,2;8,0
271;Ceará;Total;Federal;4,0;5,0;9,7
272;Ceará;Urbana;Federal;4,0;5,0;9,7
273;Ceará;Rural;Federal;;;10,0
274;Ceará;Total;Estadual;4,3;4,4;7,6
275;Ceará;Urbana;Estadual;4,9;4,6;7,5
276;Ceará;Rural;Estadual;4,0;4,0;7,9
277;Ceará;Total;Municipal;5,2;6,4;
278;Ceará;Urbana;Municipal;5,4;6,5;
279;Ceará;Rural;Municipal;4,8;6,3;
280;Ceará;Total;Privada;4,9;4,4;5,5
281;Ceará;Urbana;Privada;4,9;4,4;5,5
282;Ceará;Rural;Privada;5,0;4,5;20,3
283;Ceará;Total;Pública;5,2;6,4;7,6
284;Ceará;Urbana;Pública;5,4;6,5;7,6
285;Ceará;Rural;Pública;4,8;6,2;8,0
286;Rio Grande do Norte;Total;Total;4,5;4,9;5,5
287;Rio Grande do Norte;Urbana;Total;4,5;4,9;5,5
288;Rio Grande do Norte;Rural;Total;4,5;5,0;5,7
289;Rio Grande do Norte;Total;Federal;3,8;4,3;5,2
290;Rio Grande do Norte;Urbana;Federal;3,8;4,3;5,0
291;Rio Grande do Norte;Rural;Federal;;;6,6
292;Rio Grande do Norte;Total;Estadual;;5,0;5,5
293;Rio Grande do Norte;Urbana;Estadual;;5,0;5,6
294;Rio Grande do Norte;Rural;Estadual;;4,9;5,4
295;Rio Grande do Norte;Total;Municipal;4,6;5,0;
296;Rio Grande do Norte;Urbana;Municipal;4,6;5,0;
297;Rio Grande do Norte;Rural;Municipal;4,5;5,0;
298;Rio Grande do Norte;Total;Privada;4,4;4,6;5,5
299;Rio Grande do Norte;Urbana;Privada;4,4;4,6;5,5
300;Rio Grande do Norte;Rural;Privada;4,2;4,3;4,5
301;Rio Grande do Norte;Total;Pública;4,6;5,0;5,5
302;Rio Grande do Norte;Urbana;Pública;4,6;5,0;5,5
303;Rio Grande do Norte;Rural;Pública;4,5;5,0;5,7
304;Paraíba;Total;Total;6,0;5,2;7,3
305;Paraíba;Urbana;Total;6,1;5,2;7,3
306;Paraíba;Rural;Total;5,3;5,3;6,2
307;Paraíba;Total;Federal;4,0;4,1;9,6
308;Paraíba;Urbana;Federal;4,0;4,1;9,6
309;Paraíba;Rural;Federal;;;10,3
310;Paraíba;Total;Estadual;5,4;5,4;7,4
311;Paraíba;Urbana;Estadual;4,2;5,5;7,5
312;Paraíba;Rural;Estadual;5,8;5,2;6,0
313;Paraíba;Total;Municipal;6,6;5,4;3,9
314;Paraíba;Urbana;Municipal;7,0;5,4;3,6
315;Paraíba;Rural;Municipal;5,3;5,3;4,8
316;Paraíba;Total;Privada;4,2;4,4;5,4
317;Paraíba;Urbana;Privada;4,2;4,4;5,4
318;Paraíba;Rural;Privada;4,6;4,3;
319;Paraíba;Total;Pública;6,6;5,4;7,6
320;Paraíba;Urbana;Pública;7,0;5,4;7,6
321;Paraíba;Rural;Pública;5,3;5,3;6,2
322;Pernambuco;Total;Total;5,2;4,9;7,7
323;Pernambuco;Urbana;Total;5,3;4,9;7,8
324;Pernambuco;Rural;Total;4,9;4,7;6,5
325;Pernambuco;Total;Federal;;5,3;6,1
326;Pernambuco;Urbana;Federal;;5,3;5,6
327;Pernambuco;Rural;Federal;;;8,0
328;Pernambuco;Total;Estadual;5,3;5,5;8,0
329;Pernambuco;Urbana;Estadual;7,3;5,6;8,1
330;Pernambuco;Rural;Estadual;5,0;5,0;6,4
331;Pernambuco;Total;Municipal;5,4;4,9;3,5
332;Pernambuco;Urbana;Municipal;5,7;5,0;
333;Pernambuco;Rural;Municipal;4,7;4,7;3,5
334;Pernambuco;Total;Privada;4,8;4,5;5,7
335;Pernambuco;Urbana;Privada;4,7;4,5;5,7
336;Pernambuco;Rural;Privada;8,3;4,6;5,9
337;Pernambuco;Total;Pública;5,4;5,0;7,9
338;Pernambuco;Urbana;Pública;5,7;5,1;8,0
339;Pernambuco;Rural;Pública;4,7;4,7;6,5
340;Alagoas;Total;Total;5,9;5,3;6,9
341;Alagoas;Urbana;Total;5,9;5,2;6,9
342;Alagoas;Rural;Total;5,7;5,5;7,0
343;Alagoas;Total;Federal;;;6,1
344;Alagoas;Urbana;Federal;;;6,1
345;Alagoas;Total;Estadual;5,5;6,2;7,2
346;Alagoas;Urbana;Estadual;4,8;6,3;7,2
347;Alagoas;Rural;Estadual;5,9;5,3;7,0
348;Alagoas;Total;Municipal;6,2;5,4;
349;Alagoas;Urbana;Municipal;6,5;5,4;
350;Alagoas;Rural;Municipal;5,8;5,5;
351;Alagoas;Total;Privada;4,1;4,4;5,6
352;Alagoas;Urbana;Privada;4,1;4,4;5,6
353;Alagoas;Rural;Privada;4,0;4,2;5,3
354;Alagoas;Total;Pública;6,2;5,5;7,1
355;Alagoas;Urbana;Pública;6,5;5,5;7,1
356;Alagoas;Rural;Pública;5,8;5,5;7,0
357;Sergipe;Total;Total;5,7;5,5;7,6
358;Sergipe;Urbana;Total;5,6;5,3;7,6
359;Sergipe;Rural;Total;6,0;6,1;7,8
360;Sergipe;Total;Federal;;5,0;9,7
361;Sergipe;Urbana;Federal;;5,0;9,4
362;Sergipe;Rural;Federal;;;10,2
363;Sergipe;Total;Estadual;;5,6;7,9
364;Sergipe;Urbana;Estadual;;5,6;7,9
365;Sergipe;Rural;Estadual;;5,5;7,2
366;Sergipe;Total;Municipal;6,1;5,8;
367;Sergipe;Urbana;Municipal;6,2;5,6;
368;Sergipe;Rural;Municipal;6,0;6,1;
369;Sergipe;Total;Privada;4,5;4,8;5,8
370;Sergipe;Urbana;Privada;4,5;4,8;5,8
371;Sergipe;Rural;Privada;4,7;5,5;
372;Sergipe;Total;Pública;6,1;5,7;7,9
373;Sergipe;Urbana;Pública;6,2;5,6;7,9
374;Sergipe;Rural;Pública;6,0;6,1;7,8
375;Bahia;Total;Total;5,7;5,0;5,7
376;Bahia;Urbana;Total;5,8;4,9;5,6
377;Bahia;Rural;Total;5,4;5,1;6,2
378;Bahia;Total;Federal;;5,1;8,9
379;Bahia;Urbana;Federal;;5,1;9,0
380;Bahia;Rural;Federal;;;8,7
381;Bahia;Total;Estadual;4,5;4,9;5,5
382;Bahia;Urbana;Estadual;;4,9;5,5
383;Bahia;Rural;Estadual;4,5;4,5;5,3
384;Bahia;Total;Municipal;5,9;5,1;4,6
385;Bahia;Urbana;Municipal;6,2;5,1;3,7
386;Bahia;Rural;Municipal;5,4;5,1;4,9
387;Bahia;Total;Privada;4,9;4,6;6,2
388;Bahia;Urbana;Privada;4,9;4,5;5,8
389;Bahia;Rural;Privada;4,5;6,5;13,5
390;Bahia;Total;Pública;5,9;5,1;5,6
391;Bahia;Urbana;Pública;6,2;5,0;5,6
392;Bahia;Rural;Pública;5,4;5,1;5,5
393;Minas Gerais;Total;Total;6,1;4,9;6,0
394;Minas Gerais;Urbana;Total;6,2;4,9;5,9
395;Minas Gerais;Rural;Total;5,3;4,8;7,5
396;Minas Gerais;Total;Federal;4,0;5,3;9,7
397;Minas Gerais;Urbana;Federal;4,0;5,3;9,7
398;Minas Gerais;Rural;Federal;;;9,9
399;Minas Gerais;Total;Estadual;4,5;4,7;5,8
400;Minas Gerais;Urbana;Estadual;4,3;4,7;5,8
401;Minas Gerais;Rural;Estadual;4,5;4,8;5,1
402;Minas Gerais;Total;Municipal;6,1;5,0;5,4
403;Minas Gerais;Urbana;Municipal;6,2;5,0;5,4
404;Minas Gerais;Rural;Municipal;5,3;4,8;5,3
405;Minas Gerais;Total;Privada;6,2;4,8;5,9
406;Minas Gerais;Urbana;Privada;6,2;4,8;5,7
407;Minas Gerais;Rural;Privada;6,3;7,9;13,6
408;Minas Gerais;Total;Pública;6,1;4,9;6,0
409;Minas Gerais;Urbana;Pública;6,2;4,9;5,9
410;Minas Gerais;Rural;Pública;5,3;4,8;6,8
411;Espírito Santo;Total;Total;5,3;5,2;6,2
412;Espírito Santo;Urbana;Total;5,3;5,1;6,1
413;Espírito Santo;Rural;Total;5,5;5,5;8,1
414;Espírito Santo;Total;Federal;4,5;;7,1
415;Espírito Santo;Urbana;Federal;4,5;;6,4
416;Espírito Santo;Rural;Federal;;;9,3
417;Espírito Santo;Total;Estadual;;6,2;6,1
